InvoiceNo,StockCode,Description,InvoiceDate,Quantity,UnitPrice,TotalSales,CustomerID,Country,InvoiceDateOnly,SalesYear,SalesMonth,YearMonth,DayOfWeek,InvoiceHour
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2010-12-01 08:26:00.000000 UTC,6,3.39,20.34,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2010-12-01 08:26:00.000000 UTC,6,2.55,15.3,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,2010-12-01 08:26:00.000000 UTC,6,3.39,20.34,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536365,71053,WHITE METAL LANTERN,2010-12-01 08:26:00.000000 UTC,6,3.39,20.34,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536365,84406B,CREAM CUPID HEARTS COAT HANGER,2010-12-01 08:26:00.000000 UTC,8,2.75,22.0,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2010-12-01 08:26:00.000000 UTC,6,4.25,25.5,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536365,22752,SET 7 BABUSHKA NESTING BOXES,2010-12-01 08:26:00.000000 UTC,2,7.65,15.3,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536366,22633,HAND WARMER UNION JACK,2010-12-01 08:28:00.000000 UTC,6,1.85,11.1,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536366,22632,HAND WARMER RED POLKA DOT,2010-12-01 08:28:00.000000 UTC,6,1.85,11.1,17850,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536367,21754,HOME BUILDING BLOCK WORD,2010-12-01 08:34:00.000000 UTC,3,5.95,17.85,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS,2010-12-01 08:34:00.000000 UTC,3,4.95,14.85,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536367,21755,LOVE BUILDING BLOCK WORD,2010-12-01 08:34:00.000000 UTC,3,5.95,17.85,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2010-12-01 08:34:00.000000 UTC,2,9.95,19.9,13047,United Kingdom,2010-12-01,2010,12,2010-12,Wednesday,8
