product_a,desc_a,product_b,desc_b,co_purchase_count
22386,JUMBO BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,575
22697,GREEN REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER,557
22726,ALARM CLOCK BAKELIKE GREEN,22727,ALARM CLOCK BAKELIKE RED,549
20725,LUNCH BAG RED RETROSPOT,20727,LUNCH BAG  BLACK SKULL.,547
20725,LUNCH BAG RED RETROSPOT,22384,LUNCH BAG PINK POLKADOT,545
20727,LUNCH BAG  BLACK SKULL.,22384,LUNCH BAG PINK POLKADOT,488
20725,LUNCH BAG RED RETROSPOT,22382,LUNCH BAG SPACEBOY DESIGN,476
22086,PAPER CHAIN KIT 50'S CHRISTMAS,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,476
23300,GARDENERS KNEELING PAD CUP OF TEA,23301,GARDENERS KNEELING PAD KEEP CALM,475
82482,WOODEN PICTURE FRAME WHITE FINISH,82494L,WOODEN FRAME ANTIQUE WHITE,474
