DayOfWeek,InvoiceHour,total_orders,total_revenue
Friday,9,266,296376.83
Tuesday,10,393,294899.04
Thursday,12,586,285465.97
Wednesday,12,611,276035.54
Thursday,10,442,273576.91
Tuesday,11,405,260912.59
Tuesday,12,531,245024.38
Wednesday,10,434,243347.2
Wednesday,13,493,231063.21
Friday,12,463,229692.39
Thursday,15,421,229527.65
Monday,13,436,225247.61
Tuesday,13,475,211515.03
Wednesday,11,413,201287.22
Thursday,14,445,200940.16
Thursday,13,479,196112.66
Monday,14,374,187624.2
Monday,12,480,184573.4
Monday,10,322,183627.12
Friday,10,410,182871.6
Wednesday,14,417,179091.44
Thursday,11,370,170597.0
Tuesday,15,345,167304.23
Friday,13,397,166967.81
Friday,11,364,166546.63
Tuesday,9,290,164256.88
Tuesday,14,371,160735.04
Monday,11,340,160302.06
Wednesday,15,371,160053.32
Friday,14,361,159405.6
Sunday,12,459,152903.71
Sunday,11,385,141517.25
Monday,15,317,140756.89
Thursday,16,309,138245.01
Sunday,13,356,137280.88
Friday,15,253,136863.93
Thursday,9,294,134086.74
Sunday,15,330,129053.66
Monday,9,251,123955.19
Wednesday,9,290,122937.9
Thursday,17,245,114274.81
Thursday,18,164,104372.86
Sunday,14,306,104196.38
Tuesday,16,163,90360.21
Wednesday,16,223,81464.31
Sunday,10,225,80945.72
Monday,16,184,74536.32
Tuesday,8,115,72383.27
Thursday,8,119,67844.25
Friday,8,120,52656.61
Wednesday,8,116,45770.27
Thursday,19,133,45301.96
Friday,16,115,43975.64
Monday,8,85,43343.39
Sunday,16,106,38799.07
Monday,17,70,38143.64
Friday,17,62,29971.16
Tuesday,17,88,27993.92
Wednesday,17,79,23428.06
Friday,7,6,17284.88
Wednesday,20,1,13031.5
Thursday,7,9,6883.71
Thursday,20,16,5781.79
Wednesday,7,5,3343.46
Wednesday,19,2,2893.4
Tuesday,7,5,2052.58
Monday,7,4,1494.58
Sunday,9,2,778.8
Friday,19,9,373.04
Tuesday,18,3,296.63
Friday,18,2,75.5
Friday,20,1,19.19
Thursday,6,1,4.25
